Words,Source,context
advanced in life,https://descriptivewords.org/descriptive-words-for-age-and-aging/,elders
advanced in years,https://descriptivewords.org/descriptive-words-for-age-and-aging/,elders
aged,https://descriptivewords.org/descriptive-words-for-age-and-aging/,elders
ancestral,https://descriptivewords.org/descriptive-words-for-age-and-aging/,elders
anicular,https://descriptivewords.org/descriptive-words-for-age-and-aging/,elders
anile,https://descriptivewords.org/descriptive-words-for-age-and-aging/,elders
annotinous,https://descriptivewords.org/descriptive-words-for-age-and-aging/,elders
annuated,https://descriptivewords.org/descriptive-words-for-age-and-aging/,elders
antiquated,https://descriptivewords.org/descriptive-words-for-age-and-aging/,elders
ayne,https://descriptivewords.org/descriptive-words-for-age-and-aging/,elders
declining,https://descriptivewords.org/descriptive-words-for-age-and-aging/,elders
decrepit,https://descriptivewords.org/descriptive-words-for-age-and-aging/,elders
doited,https://descriptivewords.org/descriptive-words-for-age-and-aging/,elders
effete,https://descriptivewords.org/descriptive-words-for-age-and-aging/,elders
eigne,https://descriptivewords.org/descriptive-words-for-age-and-aging/,elders
elder,https://descriptivewords.org/descriptive-words-for-age-and-aging/,elders
eldest,https://descriptivewords.org/descriptive-words-for-age-and-aging/,elders
epigonous,https://descriptivewords.org/descriptive-words-for-age-and-aging/,elders
extreme old,https://descriptivewords.org/descriptive-words-for-age-and-aging/,elders
firstborn,https://descriptivewords.org/descriptive-words-for-age-and-aging/,elders
firstling,https://descriptivewords.org/descriptive-words-for-age-and-aging/,elders
gerocomical,https://descriptivewords.org/descriptive-words-for-age-and-aging/,elders
good old,https://descriptivewords.org/descriptive-words-for-age-and-aging/,elders
gray,https://descriptivewords.org/descriptive-words-for-age-and-aging/,elders
gray-headed,https://descriptivewords.org/descriptive-words-for-age-and-aging/,elders
having one foot in the grave,https://descriptivewords.org/descriptive-words-for-age-and-aging/,elders
hoar,https://descriptivewords.org/descriptive-words-for-age-and-aging/,elders
hoary,https://descriptivewords.org/descriptive-words-for-age-and-aging/,elders
in years,https://descriptivewords.org/descriptive-words-for-age-and-aging/,elders
insenescible,https://descriptivewords.org/descriptive-words-for-age-and-aging/,elders
juvenescent,https://descriptivewords.org/descriptive-words-for-age-and-aging/,elders
marked with a crow’s foot,https://descriptivewords.org/descriptive-words-for-age-and-aging/,elders
marriageable,https://descriptivewords.org/descriptive-words-for-age-and-aging/,elders
matronly,https://descriptivewords.org/descriptive-words-for-age-and-aging/,elders
mature,https://descriptivewords.org/descriptive-words-for-age-and-aging/,elders
maturate,https://descriptivewords.org/descriptive-words-for-age-and-aging/,elders
mellow,https://descriptivewords.org/descriptive-words-for-age-and-aging/,elders
middle-aged,https://descriptivewords.org/descriptive-words-for-age-and-aging/,elders
no chicken,https://descriptivewords.org/descriptive-words-for-age-and-aging/,elders
