,Country,year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Continent
0,Zimbabwe,2020,3.159802198410034,7.828756809234619,0.7172426581382751,56.79999923706055,0.6433029770851135,-0.00869576446712017,0.7885227799415588,0.702572762966156,0.34573638439178467,Africa
1,Benin,2020,4.407745838165283,8.10229206085205,0.5066360831260681,55.099998474121094,0.7831146717071533,-0.08348871022462845,0.5318836569786072,0.6085846424102783,0.3045124411582947,Africa
2,United Kingdom,2020,6.798177242279053,10.625810623168945,0.9293532371520996,72.69999694824219,0.8846240043640137,0.20250841975212097,0.49020394682884216,0.758163571357727,0.2246551215648651,Europe
3,Philippines,2020,5.079585075378418,9.061443328857422,0.7811403870582581,62.099998474121094,0.9320417046546936,-0.11554288119077682,0.7442836761474609,0.8035621047019958,0.3268890082836151,Asia
4,Iraq,2020,4.785165309906006,9.16718578338623,0.7078474760055542,61.400001525878906,0.7002145648002625,-0.020748287439346313,0.8491087555885315,0.6444642543792725,0.5315389037132263,Asia
5,Belgium,2020,6.838760852813721,10.770537376403809,0.9035586714744568,72.4000015258789,0.7669178247451782,-0.16378448903560638,0.6336267590522766,0.6465103030204773,0.2601887881755829,Europe
6,Iran,2020,4.864528179168701,,0.7572186589241028,66.5999984741211,0.5995944738388062,,0.7099016904830933,0.5824205279350281,0.47024500370025635,Asia
7,Poland,2020,6.139455318450928,10.371203422546387,0.9531717300415039,70.0999984741211,0.7674286961555481,-0.006559355650097132,0.7868736386299133,0.759842574596405,0.32893791794776917,Europe
8,Portugal,2020,5.767792224884033,10.370820045471191,0.8749903440475464,72.80000305175781,0.9131307601928711,-0.23809020221233368,0.8671571612358093,0.6477688550949097,0.3828126788139343,Europe
9,India,2020,4.225281238555908,8.70277214050293,0.616639256477356,60.900001525878906,0.9063913226127625,0.07482379674911499,0.7801240086555481,0.7524339556694031,0.3831625282764435,Asia
10,Israel,2020,7.194928169250488,10.538053512573242,0.9590721726417542,73.69999694824219,0.831315815448761,-0.04937167465686798,0.7476390600204468,0.6213983297348022,0.2428257316350937,Asia
11,Iceland,2020,7.575489521026611,10.824200630187988,0.9832860827445984,73.0,0.9486271739006042,0.16027399897575378,0.6440638899803162,0.8630176186561584,0.17179514467716217,Europe
12,United Arab Emirates,2020,6.458392143249512,11.052889823913574,0.8267555832862854,67.5,0.942161500453949,0.060019660741090775,,0.7516599297523499,0.2984803020954132,Asia
13,Hungary,2020,6.038049697875977,10.335147857666016,0.9434003829956055,68.4000015258789,0.7709680795669556,-0.12040461599826813,0.8361051082611084,0.7352383732795715,0.24005194008350372,Europe
14,Hong Kong S.A.R. of China,2020,5.295341491699219,,0.8129429817199707,,0.7054522633552551,,0.3803512156009674,0.608647346496582,0.210313618183136,
15,Bolivia,2020,5.559258937835693,8.997989654541016,0.8048108816146851,64.19999694824219,0.8770319223403931,-0.05376378819346428,0.8682082891464233,0.7898184657096863,0.3817911744117737,South America
16,Russia,2020,5.495288848876953,10.162235260009766,0.8870201706886292,65.0999984741211,0.7144664525985718,-0.07061229646205902,0.8230475187301636,0.6452149748802185,0.18952153623104095,
17,Saudi Arabia,2020,6.559588432312012,10.700662612915039,0.8902559280395508,66.9000015258789,0.8842201232910156,-0.11053171008825302,,0.7536076307296753,0.25119906663894653,Asia
18,Ireland,2020,7.03493070602417,11.322803497314453,0.9603110551834106,72.5,0.8820982575416565,0.013816552236676216,0.3556327223777771,0.7966610193252563,0.24644726514816284,Europe
19,Italy,2020,6.488356113433838,10.56257152557373,0.8898240327835083,74.0,0.7181554436683655,-0.14993725717067719,0.8440945744514465,0.6702133417129517,0.3110021650791168,Europe
20,Ukraine,2020,5.2696757316589355,9.427873611450195,0.884686291217804,65.19999694824219,0.7842734456062317,0.1263442039489746,0.9456689953804016,0.6877206563949585,0.28473618626594543,Europe
21,Kenya,2020,4.546584129333496,8.36528205871582,0.6737176179885864,61.29999923706055,0.7020344734191895,0.2599695920944214,0.8365160226821899,0.7334348559379578,0.2969804108142853,Africa
22,Latvia,2020,6.229008674621582,10.299590110778809,0.9280121922492981,67.4000015258789,0.8201116919517517,-0.077660471200943,0.808821976184845,0.7136284112930298,0.20158237218856812,Europe
23,Laos,2020,5.284390926361084,8.959955215454102,0.6603962779045105,59.5,0.9150282144546509,0.14143069088459015,0.7479977011680603,0.8216802477836609,0.3583492636680603,Asia
24,Nigeria,2020,5.50294828414917,8.484203338623047,0.7392894625663757,50.5,0.713061511516571,0.09940405935049057,0.9127744436264038,0.7439777255058289,0.31588682532310486,Africa
25,Austria,2020,7.213489055633545,10.851118087768555,0.924831211566925,73.5999984741211,0.9119098782539368,0.01103174313902855,0.4638301730155945,0.7693166136741638,0.20649965107440948,Europe
26,Kyrgyzstan,2020,6.24958610534668,8.503411293029785,0.9022229909896851,64.69999694824219,0.9348853230476379,0.10286574065685272,0.9313175082206726,0.8030253648757935,0.25781306624412537,Asia
27,North Macedonia,2020,5.053664207458496,9.690014839172363,0.7503741979598999,65.55988311767578,0.7872847318649292,0.13127434253692627,0.8774211406707764,0.6046268343925476,0.3651260733604431,
28,Kosovo,2020,6.294414043426514,,0.7923744916915894,,0.8798375725746155,,0.9098938703536987,0.7262398600578308,0.20145803689956665,
29,Norway,2020,7.290032386779785,11.042160034179688,0.9559799432754517,73.4000015258789,0.9645611047744751,0.07514853775501251,0.2710832953453064,0.823093831539154,0.2160339206457138,Europe
30,United States,2020,7.028088092803955,11.000656127929688,0.9373698234558105,68.0999984741211,0.8504472970962524,0.03410335257649422,0.6781246066093445,0.7873719930648804,0.2954990267753601,
31,Kazakhstan,2020,6.168269157409668,10.135335922241211,0.966448962688446,65.80000305175781,0.8721001148223877,-0.056175168603658676,0.6607988476753235,0.6841026544570923,0.15035991370677948,Asia
32,Bahrain,2020,6.173175811767578,10.619903564453125,0.8477450609207153,69.69999694824219,0.9452325701713562,0.13244104385375977,,0.7897949814796448,0.29683545231819153,Asia
33,Uruguay,2020,6.309681415557861,9.9371919631958,0.9210703372955322,69.19999694824219,0.9077619314193726,-0.08398690074682236,0.49100783467292786,0.8073509335517883,0.2646920680999756,South America
34,Jordan,2020,4.093991756439209,9.149994850158691,0.7088398933410645,67.19999694824219,0.7785334587097168,-0.14982588589191437,,,,Asia
35,Japan,2020,6.1179633140563965,10.579547882080078,0.8872491121292114,75.19999694824219,0.806036114692688,-0.2587452828884125,0.6086985468864441,0.7424694299697876,0.18646100163459778,Asia
36,Bangladesh,2020,5.27998685836792,8.47219467163086,0.7393379211425781,65.30000305175781,0.7774671912193298,-0.008851290680468082,0.7416591644287109,0.5823808312416077,0.33170878887176514,Asia
37,Ivory Coast,2020,5.256503582000732,8.564923286437988,0.6131063103675842,50.70000076293945,0.7699980139732361,0.015563689172267914,0.7766872644424438,0.6926469206809998,0.3399190902709961,Africa
38,Bosnia and Herzegovina,2020,5.5158162117004395,9.583344459533691,0.8985186815261841,68.4000015258789,0.740250825881958,0.13795417547225952,0.9160521626472473,0.6442373394966125,0.3254123032093048,Europe
39,Greece,2020,5.787615776062012,10.214579582214355,0.7785365581512451,72.80000305175781,0.5646136403083801,-0.2408064603805542,0.7643245458602905,0.6844578385353088,0.32168421149253845,Europe
40,Australia,2020,7.1373677253723145,10.75986385345459,0.9365170001983643,74.19999694824219,0.9052829742431641,0.21003030240535736,0.49109482765197754,0.7691817283630371,0.20507767796516418,Oceania
41,Croatia,2020,6.507992267608643,10.165817260742188,0.9229134917259216,71.4000015258789,0.8366576433181763,-0.06296810507774353,0.9609392881393433,0.7427805066108704,0.28560975193977356,Europe
42,Tunisia,2020,4.73081111907959,9.230624198913574,0.7190132141113281,67.5,0.6677581071853638,-0.20181423425674438,0.877354085445404,0.5846338868141174,0.43877434730529785,Africa
43,Spain,2020,6.502175331115723,10.488059043884277,0.934934675693512,75.0,0.7832565307617188,-0.12061331421136856,0.7299774885177612,0.6861776113510132,0.31661710143089294,Europe
