Words,year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Categories
Afghanistan,2019,2.375091791,7.697247982,0.419972867,52.40000153,0.393656164,-0.108458869,0.923849106,0.351387054,0.502473712,Asia
Albania,2020,5.364909649,9.497251511,0.710115016,69.30000305,0.75367105,0.006968025,0.891358972,0.678661227,0.265066117,Europe
Algeria,2019,4.744627476,9.336946487,0.803258657,66.09999847,0.385083437,0.00508652,0.740609348,0.584944308,0.215197757,Africa
Andorra,,,,,,,,,,,Europe
Angola,2014,3.794837952,9.016735077,0.754615486,54.59999847,0.374541551,-0.167722687,0.83407563,0.578517139,0.367864132,Africa
Antigua and Barbuda,,,,,,,,,,,North America
Argentina,2020,5.900567055,9.850449562,0.897103846,69.19999695,0.823391616,-0.122354329,0.815780461,0.763523877,0.342496932,South America
Armenia,2019,5.4880867,9.521769524,0.781603873,67.19999695,0.844324112,-0.172368988,0.583472729,0.598237813,0.430463403,Europe
Australia,2020,7.137367725,10.75986385,0.936517,74.19999695,0.905282974,0.210030302,0.491094828,0.769181728,0.205077678,Oceania
Austria,2020,7.213489056,10.85111809,0.924831212,73.59999847,0.911909878,0.011031743,0.463830173,0.769316614,0.206499651,Europe
Azerbaijan,2019,5.173389435,9.575250626,0.88675642,65.80000305,0.854248524,-0.214162916,0.457260668,0.642546833,0.163920254,Europe
Bahamas,,,,,,,,,,,North America
Bahrain,2020,6.173175812,10.61990356,0.847745061,69.69999695,0.94523257,0.132441044,,0.789794981,0.296835452,Asia
Bangladesh,2020,5.279986858,8.472194672,0.739337921,65.30000305,0.777467191,-0.008851291,0.741659164,0.582380831,0.331708789,Asia
Barbados,,,,,,,,,,,North America
Belarus,2019,5.821453094,9.860038757,0.916740477,66.40000153,0.656933606,-0.185933307,0.545904756,0.590850592,0.189821407,Europe
Belgium,2020,6.838760853,10.77053738,0.903558671,72.40000153,0.766917825,-0.163784489,0.633626759,0.646510303,0.260188788,Europe
Belize,2014,5.955646515,8.883127213,0.756932497,62.22000122,0.873569071,0.021995628,0.782105386,0.754977345,0.281604409,North America
Benin,2020,4.407745838,8.102292061,0.506636083,55.09999847,0.783114672,-0.08348871,0.531883657,0.608584642,0.304512441,Africa
Bhutan,2015,5.082128525,9.218923569,0.847574413,60.20000076,0.83010155,0.277412355,0.633955777,0.80964148,0.311589301,Asia
Bolivia,2020,5.559258938,8.997989655,0.804810882,64.19999695,0.877031922,-0.053763788,0.868208289,0.789818466,0.381791174,South America
