,SOC_code,Categories,Words,Major,high_level
0,11-1011,Chief Executives,Admiral,11,"Management, Business, Science, and Arts Occupations"
1,11-1011,Chief Executives,CEO,11,"Management, Business, Science, and Arts Occupations"
2,11-1011,Chief Executives,Chief Executive Officer,11,"Management, Business, Science, and Arts Occupations"
3,11-1011,Chief Executives,Chief Financial Officer,11,"Management, Business, Science, and Arts Occupations"
4,11-1011,Chief Executives,Chief Operating Officer,11,"Management, Business, Science, and Arts Occupations"
5,11-1011,Chief Executives,Chief Sustainability Officer,11,"Management, Business, Science, and Arts Occupations"
6,11-1011,Chief Executives,Commissioner of Internal Revenue,11,"Management, Business, Science, and Arts Occupations"
7,11-1011,Chief Executives,COO,11,"Management, Business, Science, and Arts Occupations"
8,11-1011,Chief Executives,County Commissioner,11,"Management, Business, Science, and Arts Occupations"
9,11-1011,Chief Executives,Government Service Executive,11,"Management, Business, Science, and Arts Occupations"
10,11-1011,Chief Executives,Governor,11,"Management, Business, Science, and Arts Occupations"
11,11-1011,Chief Executives,Mayor,11,"Management, Business, Science, and Arts Occupations"
12,11-1011,Chief Executives,School Superintendent,11,"Management, Business, Science, and Arts Occupations"
13,11-1011,Chief Executives,University President,11,"Management, Business, Science, and Arts Occupations"
14,11-1021,General and Operations Managers,Department Store General Manager,11,"Management, Business, Science, and Arts Occupations"
15,11-1021,General and Operations Managers,Department Store Manager,11,"Management, Business, Science, and Arts Occupations"
16,11-1021,General and Operations Managers,General Manager,11,"Management, Business, Science, and Arts Occupations"
17,11-1021,General and Operations Managers,General Superintendent,11,"Management, Business, Science, and Arts Occupations"
18,11-1021,General and Operations Managers,Manufacturing Operations Manager,11,"Management, Business, Science, and Arts Occupations"
19,11-1021,General and Operations Managers,Operational Risk Manager,11,"Management, Business, Science, and Arts Occupations"
20,11-1021,General and Operations Managers,Operations Manager,11,"Management, Business, Science, and Arts Occupations"
21,11-1021,General and Operations Managers,Radio Station Manager,11,"Management, Business, Science, and Arts Occupations"
22,11-1021,General and Operations Managers,Television Store Manager,11,"Management, Business, Science, and Arts Occupations"
23,11-1031,Legislators,City Alderman,11,"Management, Business, Science, and Arts Occupations"
24,11-1031,Legislators,City Council Member,11,"Management, Business, Science, and Arts Occupations"
