,SOC_code,Categories,Words,Major,high_level
0,11-1011,Chief Executives,admiral,11,"Management, Business, Science, and Arts Occupations"
1,11-1011,Chief Executives,ceo,11,"Management, Business, Science, and Arts Occupations"
2,11-1011,Chief Executives,chief executive officer,11,"Management, Business, Science, and Arts Occupations"
3,11-1011,Chief Executives,chief financial officer,11,"Management, Business, Science, and Arts Occupations"
4,11-1011,Chief Executives,chief operating officer,11,"Management, Business, Science, and Arts Occupations"
5,11-1011,Chief Executives,chief sustainability officer,11,"Management, Business, Science, and Arts Occupations"
6,11-1011,Chief Executives,commissioner of internal revenue,11,"Management, Business, Science, and Arts Occupations"
7,11-1011,Chief Executives,coo,11,"Management, Business, Science, and Arts Occupations"
8,11-1011,Chief Executives,county commissioner,11,"Management, Business, Science, and Arts Occupations"
9,11-1011,Chief Executives,government service executive,11,"Management, Business, Science, and Arts Occupations"
10,11-1011,Chief Executives,governor,11,"Management, Business, Science, and Arts Occupations"
11,11-1011,Chief Executives,mayor,11,"Management, Business, Science, and Arts Occupations"
12,11-1011,Chief Executives,school superintendent,11,"Management, Business, Science, and Arts Occupations"
13,11-1011,Chief Executives,university president,11,"Management, Business, Science, and Arts Occupations"
14,11-1021,General and Operations Managers,department store general manager,11,"Management, Business, Science, and Arts Occupations"
15,11-1021,General and Operations Managers,department store manager,11,"Management, Business, Science, and Arts Occupations"
16,11-1021,General and Operations Managers,general manager,11,"Management, Business, Science, and Arts Occupations"
17,11-1021,General and Operations Managers,general superintendent,11,"Management, Business, Science, and Arts Occupations"
18,11-1021,General and Operations Managers,manufacturing operations manager,11,"Management, Business, Science, and Arts Occupations"
19,11-1021,General and Operations Managers,operational risk manager,11,"Management, Business, Science, and Arts Occupations"
20,11-1021,General and Operations Managers,operations manager,11,"Management, Business, Science, and Arts Occupations"
21,11-1021,General and Operations Managers,radio station manager,11,"Management, Business, Science, and Arts Occupations"
22,11-1021,General and Operations Managers,television store manager,11,"Management, Business, Science, and Arts Occupations"
23,11-1031,Legislators,city alderman,11,"Management, Business, Science, and Arts Occupations"
24,11-1031,Legislators,city council member,11,"Management, Business, Science, and Arts Occupations"
25,11-1031,Legislators,congressional representative,11,"Management, Business, Science, and Arts Occupations"
26,11-1031,Legislators,councilor,11,"Management, Business, Science, and Arts Occupations"
