Words,Source,Context
Aboriginal,https://apastyle.apa.org/style-grammar-guidelines/bias-free-language/racial-ethnic-minorities,
Afghan,https://www.ef.com/wwen/english-resources/english-grammar/nationalities/,
African,,
African American,https://apastyle.apa.org/style-grammar-guidelines/bias-free-language/racial-ethnic-minorities,
Afro-American,https://apastyle.apa.org/style-grammar-guidelines/bias-free-language/racial-ethnic-minorities,
Alaska Native,https://apastyle.apa.org/style-grammar-guidelines/bias-free-language/racial-ethnic-minorities,
Algerian,https://www.ef.com/wwen/english-resources/english-grammar/nationalities/,
American,https://www.ef.com/wwen/english-resources/english-grammar/nationalities/,
Angolan,https://www.ef.com/wwen/english-resources/english-grammar/nationalities/,
Arab Americans,https://apastyle.apa.org/style-grammar-guidelines/bias-free-language/racial-ethnic-minorities,
Argentine,https://www.ef.com/wwen/english-resources/english-grammar/nationalities/,
Asian,https://apastyle.apa.org/style-grammar-guidelines/bias-free-language/racial-ethnic-minorities,
Asian American,https://apastyle.apa.org/style-grammar-guidelines/bias-free-language/racial-ethnic-minorities,
Australian,https://www.ef.com/wwen/english-resources/english-grammar/nationalities/,
Austrian,https://www.ef.com/wwen/english-resources/english-grammar/nationalities/,
Bangladeshi,https://www.ef.com/wwen/english-resources/english-grammar/nationalities/,
Belarusian,https://www.ef.com/wwen/english-resources/english-grammar/nationalities/,
Belgian,https://www.ef.com/wwen/english-resources/english-grammar/nationalities/,
bipoc,,
biracial,,
Black,https://apastyle.apa.org/style-grammar-guidelines/bias-free-language/racial-ethnic-minorities,
Bolivian,https://www.ef.com/wwen/english-resources/english-grammar/nationalities/,
Bosnian,https://www.ef.com/wwen/english-resources/english-grammar/nationalities/,
Brazilian,https://www.ef.com/wwen/english-resources/english-grammar/nationalities/,
British,https://www.ef.com/wwen/english-resources/english-grammar/nationalities/,
Bulgarian,https://www.ef.com/wwen/english-resources/english-grammar/nationalities/,
Cambodian,https://www.ef.com/wwen/english-resources/english-grammar/nationalities/,
Cameroonian,https://www.ef.com/wwen/english-resources/english-grammar/nationalities/,
Canadian,https://www.ef.com/wwen/english-resources/english-grammar/nationalities/,
Caucasian,https://apastyle.apa.org/style-grammar-guidelines/bias-free-language/racial-ethnic-minorities,
Central African,https://www.ef.com/wwen/english-resources/english-grammar/nationalities/,
Chadian,https://www.ef.com/wwen/english-resources/english-grammar/nationalities/,
Chicano,https://apastyle.apa.org/style-grammar-guidelines/bias-free-language/racial-ethnic-minorities,
Chinese,https://www.ef.com/wwen/english-resources/english-grammar/nationalities/,
Colombian,https://www.ef.com/wwen/english-resources/english-grammar/nationalities/,
Congolese,https://www.ef.com/wwen/english-resources/english-grammar/nationalities/,
Congolese,https://www.ef.com/wwen/english-resources/english-grammar/nationalities/,
Costa Rican,https://www.ef.com/wwen/english-resources/english-grammar/nationalities/,
Croatian,https://www.ef.com/wwen/english-resources/english-grammar/nationalities/,
Czech,https://www.ef.com/wwen/english-resources/english-grammar/nationalities/,
Danish,https://www.ef.com/wwen/english-resources/english-grammar/nationalities/,
Dutch,https://www.ef.com/wwen/english-resources/english-grammar/nationalities/,
East Asian,,
Ecuadorian,https://www.ef.com/wwen/english-resources/english-grammar/nationalities/,
Egyptian,https://www.ef.com/wwen/english-resources/english-grammar/nationalities/,
Emirati,https://www.ef.com/wwen/english-resources/english-grammar/nationalities/,
English,https://www.ef.com/wwen/english-resources/english-grammar/nationalities/,
Eskimo,https://apastyle.apa.org/style-grammar-guidelines/bias-free-language/racial-ethnic-minorities,
Estonian,https://www.ef.com/wwen/english-resources/english-grammar/nationalities/,
Ethiopian,https://www.ef.com/wwen/english-resources/english-grammar/nationalities/,
European,,
European American,https://apastyle.apa.org/style-grammar-guidelines/bias-free-language/racial-ethnic-minorities,
Finnish,https://www.ef.com/wwen/english-resources/english-grammar/nationalities/,
French,https://www.ef.com/wwen/english-resources/english-grammar/nationalities/,
German,https://www.ef.com/wwen/english-resources/english-grammar/nationalities/,
Ghanaian,https://www.ef.com/wwen/english-resources/english-grammar/nationalities/,
Greek,https://www.ef.com/wwen/english-resources/english-grammar/nationalities/,
