Words,Context
ace,"ace. Short for asexual, which see. [1]"
AGAB,AGAB. Assigned gender at birth. Most people are either assigned female at birth (AFAB) or assigned male at birth (AMAB) .
AFAB,AFAB. See AGAB.
agender,"agender. A nonbinary identity. 1. Some who call themselves agender have no gender identity (genderless). 2. Some who call themselves agender have a gender identity, which isn't female or male, but neutral."
altersex,"altersex. Describes people or fictional characters for whom ""their actual body or their desired body does not conform to either binary sex standard in some way, but is not this way due to any variation of intersex. This can be due to sexual transitioning , being of a fictional/impossible sex , being able to shapeshift to change sex characteristics, or having an 'alien' sex that is not found in humans but may be found elsewhere, such as a species that has different sexes from our own."" Coined by farorenightclaw. [2] Intended to replace problematic terms like ""futanari"", ""herm"", ""dickgirl"", etc. [3] Has been called transphobic by some [4] and should not be applied to real life people who do not identify themselves as such. [5]"
AMAB,AMAB. See AGAB.
ambonec,"ambonec. A nonbinary ""gender identity in which you identify as both male and female, yet you also identify as neither, at the same time."" [8] [9] [10]"
androgyne,androgyne. This word is used for a wide variety of gender nonconforming and nonbinary gender identities and gender expressions.
androphilic,androphilic. A romantic and sexual orientation in which a person feels attraction to men or masculinity. [11]
angenital,"angenital or ANG. ""an identity in which you feel uncomfortable (potentially dysphoric ) with having any sort of genitalia ( sex ) at all but do not mind gendered pronouns or having a gender label. You have a desire to be sexless but not necessarily genderless."" Coined by uchuulien. [12] See also genital nullification ."
ANG,"angenital or ANG. ""an identity in which you feel uncomfortable (potentially dysphoric ) with having any sort of genitalia ( sex ) at all but do not mind gendered pronouns or having a gender label. You have a desire to be sexless but not necessarily genderless."" Coined by uchuulien. [12] See also genital nullification ."
aporagender,"aporagender. Coined in 2014, from Greek apo, apor ""separate"" + ""gender"". [13] A nonbinary gender identity and umbrella term for ""a gender separate from male, female, and anything in between while still having a very strong and specific gendered feeling"" (that is, not an absence of gender ). [14]"
aromantic,aromantic or aro. A romantic orientation in which a person doesn't feel romantic attraction to people of any gender. [15]
aro,aromantic or aro. A romantic orientation in which a person doesn't feel romantic attraction to people of any gender. [15]
asexuality,asexuality. A sexual orientation in which a person doesn't feel sexual attraction to people of any gender. Asexual people might still feel other types of attraction. [16]
a-spec,a-spec or a-spectrum. The community of anyone who is in some way asexual or aromantic.
a-spectrum,a-spec or a-spectrum. The community of anyone who is in some way asexual or aromantic.
berdache,berdache. An old word used by European-American people and anthropologists for gender roles in Native American cultures that are now called two-spirit .
bi,"bi. Short for bisexual, which see."
bigender,"bigender. Bigender individuals have two gender identities, at the same time, or at different times. [17]"
