Words,root_words,Source,context,definition
aces,ace,https://nonbinary.wiki/wiki/Glossary_of_English_gender_and_sex_terminology,sexual identity,"ace. Short for asexual, which see. [1]"
agender people,agender,https://nonbinary.wiki/wiki/Glossary_of_English_gender_and_sex_terminology,gender,"agender. A nonbinary identity. 1. Some who call themselves agender have no gender identity (genderless). 2. Some who call themselves agender have a gender identity, which isn't female or male, but neutral."
altersex people,altersex,https://nonbinary.wiki/wiki/Glossary_of_English_gender_and_sex_terminology,gender,"altersex. Describes people or fictional characters for whom ""their actual body or their desired body does not conform to either binary sex standard in some way, but is not this way due to any variation of intersex. This can be due to sexual transitioning , being of a fictional/impossible sex , being able to shapeshift to change sex characteristics, or having an 'alien' sex that is not found in humans but may be found elsewhere, such as a species that has different sexes from our own."" Coined by farorenightclaw. [2] Intended to replace problematic terms like ""futanari"", ""herm"", ""dickgirl"", etc. [3] Has been called transphobic by some [4] and should not be applied to real life people who do not identify themselves as such. [5]"
ambonec people,ambonec,https://nonbinary.wiki/wiki/Glossary_of_English_gender_and_sex_terminology,gender,"ambonec. A nonbinary ""gender identity in which you identify as both male and female, yet you also identify as neither, at the same time."" [8] [9] [10]"
androgene people,androgyne,https://nonbinary.wiki/wiki/Glossary_of_English_gender_and_sex_terminology,gender,androgyne. This word is used for a wide variety of gender nonconforming and nonbinary gender identities and gender expressions.
angenital people,angenital,https://nonbinary.wiki/wiki/Glossary_of_English_gender_and_sex_terminology,gender,"angenital or ANG. ""an identity in which you feel uncomfortable (potentially dysphoric ) with having any sort of genitalia ( sex ) at all but do not mind gendered pronouns or having a gender label. You have a desire to be sexless but not necessarily genderless."" Coined by uchuulien. [12] See also genital nullification ."
aporagender people,aporagender,https://nonbinary.wiki/wiki/Glossary_of_English_gender_and_sex_terminology,gender,"aporagender. Coined in 2014, from Greek apo, apor ""separate"" + ""gender"". [13] A nonbinary gender identity and umbrella term for ""a gender separate from male, female, and anything in between while still having a very strong and specific gendered feeling"" (that is, not an absence of gender ). [14]"
butch people,butch,https://nonbinary.wiki/wiki/Glossary_of_English_gender_and_sex_terminology,gender,"butch. A masculine gender identity or expression, which some see as a nonbinary gender."
cisgender women,cisgender,,,
cisgender men,cisgender,,,
cisgender people,cisgender,https://nonbinary.wiki/wiki/Glossary_of_English_gender_and_sex_terminology,gender,"cisgender. From Latin cis ""on the same side of"" + ""gender,"" ""coined in 1995 by a transsexual man named Carl Buijs."" [23] A person who isn't transgender and isn't nonbinary. The Latin prefix cis (""on the same side of"") is the opposite of the Latin prefix trans (""to the other side of"")."
femme people,femme,https://nonbinary.wiki/wiki/Glossary_of_English_gender_and_sex_terminology,gender,"femme , fem. A queer feminine gender identity or expression, which some see as a nonbinary gender."
