,target,context
0,Ethiopia,Many people live in Ethiopia.
1,Hispanic,My professor is a hispanic man
3,Cape Verde,We'll likely fly over Cape Verde on our flight tomorrow.
4,Russian,I know many people who are Russian.
6,Cameroon,That person is from Cameroon.
7,Ethiopian,The Ethiopians sat huddled by the fire.
8,Afghanistan,Afghanistan has citizens from the Middle East.
9,Russian,The Russian girl walked by the store in New York.
10,Hispanic,Hispanic people can be found all over the country.
11,Cameroon,Cameroon is a country in Africa.
13,Cameroon,He had never been to Cameroon.
14,Crimean,Crimean is a beautiful location for pretty people.
15,Cameroon,Cameroon was in their spring time
16,Afghanistan,I have never been to Afghanistan.
17,Russian,The new student was Russian.
18,Afghanistan,Afghanistan shares a border with Pakistan.
19,Ghanaian,I introduced myself to the Ghanaian
27,Cameroon,Cameroon has a rich culture integrated with their traditional foods.
30,Ethiopian,We met a group of Ethiopian children.
31,Ethiopia,Ethiopia has a rich culture.
33,Hispanic,Hispanic people are veey diverse.
36,Afghanistan,She is going to teach in Afghanistan.
40,Cameroon,We learned about the country Cameroon today.
41,Hispanic,The Hispanic man worked a steady job.
44,Hispanic,Hispanic people come from many types of countries in Latin America.
46,Ethiopia,My friend is studying in Ethiopia.
47,Hispanic,Most surveys ask if participants have Hispanic origins.
50,Ghanaian,The Ghanaian worked in a supermarket.
52,Crimean,The person is Crimean.
53,Afghanistan,I'll arrive in Afghanistan tomorrow.
54,Afghanistan,The person who moved next door was from Afghanistan.
57,Cape Verde,Cape Verde was a Portugese colony.
59,Hispanic,I live in an area with many Hispanics.
60,Ghanaian,The Ghanaian man enjoyed dinner with his family each night.
63,Ethiopia,"Again, I wouldnt mind visiting Ethiopia."
65,Ethiopian,An Ethiopian woman serves in the US Congress.
68,Cameroon,I have never heard of Cameroon.
71,Crimean,I met a woman who claimed to be a Crimean.
72,Russian,The person over there is Russian.
74,Ethiopia,Ethiopia is a country as large as France and Spain both combined.
76,Cameroon,soccer team in Cameroon
77,Ghanaian,The Ghanaian children played together in the field.
79,Cameroon,The airport in Cameroon is temporarily closed.
80,Afghanistan,Afghanistan is near Russia.
85,Ghanaian,A girl I went to college with is marrying a Ghanaian.
86,Ethiopia,Ethiopia is a country.
88,Afghanistan,My neighbor is from Afghanistan
89,Hispanic,Hispanic people live in houses.
90,Russian,My next door neighbor is Russian.
93,Hispanic,My friend is Hispanic and sometimes we hang out.
99,Hispanic,My neighbor is Hispanic.
104,Crimean,I've always wanted to visit the Crimean Peninsula.
106,Cameroon,Cameroon is a country.
112,Crimean,Crimean people come from Europe.
115,Cameroon,Cameroon has several airports.
118,Ethiopian,My was is Ethiopian
119,Cameroon,Cameroon is far from the USA
120,Afghanistan,Afghanistan is a nice place
122,Cameroon,Cameroon sits in Africa near Nigeria.
124,Cameroon,Cameroon is an African country.
125,Ethiopia,I studied abroad in Ethiopia.
126,Hispanic,I saw a Hispanic neighbor bringing home some alcohol after work.
128,Ethiopian,Ethiopian people date back three million years.
129,Ghanaian,Ghanaian people are from the golden coast of west Africa.
132,Ethiopia,The man from Ethiopia skipped lunch during work.
134,Ethiopia,Ethiopia is a cool country.
137,Ghanaian,The Ghanaian security officer has been working for a few days.
139,Crimean,The Crimean man got off of the airplane.
143,Ethiopia,My friend is visiting Ethiopia.
144,Cape Verde,Cape Verde sounds like a dreamy place to visit.
145,Ethiopia,Our new student just came from Ethiopia.
149,Hispanic,Hispanic people are people who speak Spanish.
150,Russian,Russian people are very interesting.
151,Ethiopian,the ethiopian came here
154,Hispanic,The Hispanic man walked in the road.
156,Hispanic,Hispanic people are short.
161,Ghanaian,The woman over by the swing is a Ghanaian.
162,Russian,They went to a Russian restaurant.
163,Russian,The Russian got off of the boat.
165,Ethiopian,The lady was Ethiopian
169,Russian,I live next door to an old Russian man.
170,Ghanaian,Ghanaian people have a darker skin color.
171,Russian,My uber driver was Russian.
172,Cape Verde,She said she was from Cape Verde.
174,Cameroon,My brothers friend is from Cameroon.
175,Russian,The Russian Army is secretive
178,Crimean,The Crimean market sells food from Eastern Europe.
181,Hispanic,The Hispanic man went home.
182,Cameroon,A man from Cameroon moved next door.
183,Crimean,Crimean people live in Eastern Europe.
185,Ghanaian,I think Ghanaians are from Ghana.
186,Hispanic,I met a Hispanic woman who knew how to cook.
189,Russian,I have a Russian neighbor.
192,Afghanistan,I went to Afghanistan on a missionary trip.
193,Ghanaian,My neighbor is Ghanaian.
198,Afghanistan,Afghanistan is a country in Europe.
201,Ghanaian,"Three people walk into a bar, a Ghanaian, and two others."
